"Cluster","Mutation_Level","Copy_Number_Alteration","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1_8.AMP","1_8","AMP","hsa05203","Viral carcinogenesis","10/97","201/7925",0.000162348147569837,0.00296285369314953,0.0018513385249192,"572/578/896/998/1017/1021/1027/8363/3107/3725",10
"1_8.AMP","1_8","AMP","hsa05146","Amoebiasis","7/97","102/7925",0.000236868855244005,0.00399032917680285,0.00249335637098952,"2919/3315/3586/5868/5869/7879/7124",7
"1_8.AMP","1_8","AMP","hsa05418","Fluid shear stress and atherosclerosis","8/97","139/7925",0.000284471831204275,0.00409303169025748,0.0025575300155418,"596/805/857/2946/3162/3725/1728/7124",8
"1_8.AMP","1_8","AMP","hsa05212","Pancreatic cancer","6/97","75/7925",0.000293383539752611,0.00409303169025748,0.0025575300155418,"572/578/598/998/1021/1647",6
"1_8.AMP","1_8","AMP","hsa05220","Chronic myeloid leukemia","6/97","76/7925",0.000315417960056364,0.00409303169025748,0.0025575300155418,"572/578/598/1021/1027/1647",6
"1_8.AMP","1_8","AMP","hsa04066","HIF-1 signaling pathway","7/97","109/7925",0.000356525911643037,0.00409303169025748,0.0025575300155418,"596/1027/54583/1977/1978/3162/6194",7
"1_8.AMP","1_8","AMP","hsa04612","Antigen processing and presentation","6/97","78/7925",0.000363373179204964,0.00409303169025748,0.0025575300155418,"3107/3115/3303/10437/6892/7124",6
"1_8.AMP","1_8","AMP","hsa05014","Amyotrophic lateral sclerosis (ALS)","5/97","51/7925",0.000372643128399499,0.00409303169025748,0.0025575300155418,"572/596/598/5868/7124",5
"1_8.AMP","1_8","AMP","hsa01521","EGFR tyrosine kinase inhibitor resistance","6/97","79/7925",0.000389398208989259,0.00409303169025748,0.0025575300155418,"572/596/598/1977/1978/6194",6
"1_8.AMP","1_8","AMP","hsa05163","Human cytomegalovirus infection","10/97","225/7925",0.000403666782257703,0.00409303169025748,0.0025575300155418,"578/805/1021/1978/8772/10672/54331/3107/6892/7124",10
"1_8.AMP","1_8","AMP","hsa05145","Toxoplasmosis","7/97","112/7925",0.000420757277363436,0.00409303169025748,0.0025575300155418,"572/596/598/3115/3303/3586/7124",7
"1_8.AMP","1_8","AMP","hsa05167","Kaposi sarcoma-associated herpesvirus infection","9/97","186/7925",0.000429861775689141,0.00409303169025748,0.0025575300155418,"578/805/1021/2919/8772/54331/3107/3725/1827",9
"1_8.AMP","1_8","AMP","hsa04014","Ras signaling pathway","10/97","232/7925",0.000514230534080323,0.00469235362348295,0.00293201620308956,"382/572/598/805/998/54331/5868/5869/5908/11186",10
"1_8.AMP","1_8","AMP","hsa05210","Colorectal cancer","6/97","86/7925",0.000614926103780783,0.00538675266911966,0.00336591130490534,"572/578/596/332/1647/3725",6
"1_8.AMP","1_8","AMP","hsa05165","Human papillomavirus infection","12/97","330/7925",0.00065533629064403,0.00551994798657856,0.00344913837181069,"572/578/896/998/1017/1021/1027/1978/8772/3107/9636/7124",12
"1_8.AMP","1_8","AMP","hsa05130","Pathogenic Escherichia coli infection","9/97","201/7925",0.000754273430036492,0.00598541540512574,0.00373998559320522,"382/578/998/8772/10672/3725/29108/6188/7124",9
"1_8.AMP","1_8","AMP","hsa04110","Cell cycle","7/97","124/7925",0.000776143918132739,0.00598541540512574,0.00373998559320522,"896/1017/1021/1027/1031/1647/5111",7
"1_8.AMP","1_8","AMP","hsa05161","Hepatitis B","8/97","162/7925",0.00079258925456003,0.00598541540512574,0.00373998559320522,"572/596/332/1017/8772/3725/5111/7124",8
"1_8.AMP","1_8","AMP","hsa05225","Hepatocellular carcinoma","8/97","168/7925",0.00100494633962867,0.00733610827928926,0.0045839657597097,"572/578/598/1021/1647/2946/3162/1728",8
"1_8.AMP","1_8","AMP","hsa05330","Allograft rejection","4/97","38/7925",0.00113166215951363,0.00799464557849952,0.00499545265659667,"3107/3115/3586/7124",4
"1_8.AMP","1_8","AMP","hsa05223","Non-small cell lung cancer","5/97","66/7925",0.00122704351896371,0.00839757908290789,0.00524722557451586,"572/578/1021/1647/11186",5
"1_8.AMP","1_8","AMP","hsa05166","Human T-cell leukemia virus 1 infection","9/97","219/7925",0.00138319617746234,0.0089800841750432,0.00561120376234375,"598/896/1017/1031/3107/3115/3725/9020/7124",9
"1_8.AMP","1_8","AMP","hsa04140","Autophagy - animal","7/97","137/7925",0.0013941683194131,0.0089800841750432,0.00561120376234375,"9140/9474/572/596/598/3146/7879",7
"1_8.AMP","1_8","AMP","hsa05211","Renal cell carcinoma","5/97","69/7925",0.0014991992696106,0.0091597570607662,0.00572347232828458,"572/998/54583/3725/5908",5
"1_8.AMP","1_8","AMP","hsa04064","NF-kappa B signaling pathway","6/97","102/7925",0.00150571348944102,0.0091597570607662,0.00572347232828458,"596/597/598/2919/9020/7124",6
"1_8.AMP","1_8","AMP","hsa04622","RIG-I-like receptor signaling pathway","5/97","70/7925",0.00159908721662962,0.00946486757951047,0.00591412057359462,"9140/9474/8772/9636/7124",5
"1_8.AMP","1_8","AMP","hsa04625","C-type lectin receptor signaling pathway","6/97","104/7925",0.001663867281895,0.00958912986144749,0.00599176583507894,"805/3586/3725/9020/29108/7124",6
"1_8.AMP","1_8","AMP","hsa05202","Transcriptional misregulation in cancer","8/97","186/7925",0.00192738628734988,0.0107742287539793,0.00673227463598806,"578/597/598/1027/1031/1051/1647/8091",8
"1_8.AMP","1_8","AMP","hsa04962","Vasopressin-regulated water reabsorption","4/97","44/7925",0.00196789566282728,0.0107742287539793,0.00673227463598806,"10671/140735/5868/5869",4
"1_8.AMP","1_8","AMP","hsa05133","Pertussis","5/97","76/7925",0.00230434485632931,0.0123085737447834,0.00769100979005932,"805/3586/3725/29108/7124",5
"1_8.AMP","1_8","AMP","hsa04668","TNF signaling pathway","6/97","112/7925",0.00242604798099162,0.0126501073294563,0.00790441698067446,"1051/2919/8772/3725/9020/7124",6
"1_8.AMP","1_8","AMP","hsa05132","Salmonella infection","5/97","80/7925",0.00288566450207464,0.0146967564175429,0.00918326524528037,"998/2919/3725/29108/7879",5
"1_8.AMP","1_8","AMP","hsa04010","MAPK signaling pathway","10/97","295/7925",0.00314448814210769,0.0156303697537702,0.0097666333477055,"998/1647/3303/3315/3725/3727/9020/5908/3925/7124",10
"1_8.AMP","1_8","AMP","hsa04722","Neurotrophin signaling pathway","6/97","119/7925",0.00328645173751432,0.0156303697537702,0.0097666333477055,"572/596/805/998/3725/5908",6
"1_8.AMP","1_8","AMP","hsa04144","Endocytosis","9/97","249/7925",0.00331800657611621,0.0156303697537702,0.0097666333477055,"382/857/998/3107/3303/5867/5868/5869/7879",9
"1_8.AMP","1_8","AMP","hsa04218","Cellular senescence","7/97","160/7925",0.00336653769052431,0.0156303697537702,0.0097666333477055,"805/896/1017/1021/1978/1647/3107",7
"1_8.AMP","1_8","AMP","hsa05135","Yersinia infection","6/97","120/7925",0.00342583446657978,0.0156303697537702,0.0097666333477055,"382/998/3586/3725/29108/7124",6
"1_8.AMP","1_8","AMP","hsa04151","PI3K-Akt signaling pathway","11/97","354/7925",0.00383257028602133,0.0171292427069117,0.0107032038062894,"572/596/598/896/1017/1021/1027/1977/1978/54331/6194",11
"1_8.AMP","1_8","AMP","hsa05164","Influenza A","7/97","170/7925",0.00469955553674947,0.0204485980891147,0.0127773023387883,"578/896/1021/8772/3115/29108/7124",7
"1_8.AMP","1_8","AMP","hsa05134","Legionellosis","4/97","56/7925",0.00476200229472533,0.0204485980891147,0.0127773023387883,"2919/3303/29108/7124",4
"1_8.AMP","1_8","AMP","hsa04068","FoxO signaling pathway","6/97","131/7925",0.00526549020807736,0.022175814530172,0.0138565531791509,"9140/1017/1027/1647/3586/6648",6
"1_8.AMP","1_8","AMP","hsa05310","Asthma","3/97","31/7925",0.00623324212158819,0.0257562268797701,0.0160937731043985,"3115/3586/7124",3
"1_8.AMP","1_8","AMP","hsa04910","Insulin signaling pathway","6/97","137/7925",0.00653147663730864,0.0264887663624184,0.0165515002504897,"572/805/1977/1978/2319/6194",6
"1_8.AMP","1_8","AMP","hsa01522","Endocrine resistance","5/97","98/7925",0.00686266022041057,0.0273258652412712,0.0170745613139402,"572/596/1027/1031/3725",5
"1_8.AMP","1_8","AMP","hsa04933","AGE-RAGE signaling pathway in diabetic complications","5/97","100/7925",0.00746431276385135,0.0291907945586329,0.01823986201693,"596/998/1027/3725/7124",5
"1_8.AMP","1_8","AMP","hsa04137","Mitophagy - animal","4/97","65/7925",0.00807549108102044,0.0304919404610944,0.0190528827682878,"9474/598/3725/7879",4
"1_8.AMP","1_8","AMP","hsa05321","Inflammatory bowel disease (IBD)","4/97","65/7925",0.00807549108102044,0.0304919404610944,0.0190528827682878,"3115/3586/3725/7124",4
"1_8.AMP","1_8","AMP","hsa04660","T cell receptor signaling pathway","5/97","104/7925",0.00877641676070459,0.0325768689931238,0.0203556499356217,"998/3586/3725/9020/7124",5
"1_8.AMP","1_8","AMP","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","4/97","70/7925",0.0104423764459557,0.0381146740277384,0.0238159462802499,"998/2919/3725/9020",4
"1_8.AMP","1_8","AMP","hsa04510","Focal adhesion","7/97","199/7925",0.0108356454536781,0.0387693515516221,0.0242250213973126,"572/596/857/896/998/3725/5908",7
"1_8.AMP","1_8","AMP","hsa03010","Ribosome","6/97","153/7925",0.010975798156167,0.0387693515516221,0.0242250213973126,"6147/6132/6232/6188/6194/3921",6
"1_8.AMP","1_8","AMP","hsa05218","Melanoma","4/97","72/7925",0.0115023563252958,0.0398731515324563,0.0249147305898549,"572/578/1021/1647",4
"1_8.AMP","1_8","AMP","hsa05160","Hepatitis C","6/97","155/7925",0.0116524278451014,0.0398731515324563,0.0249147305898549,"572/578/1017/1021/8772/7124",6
"1_8.AMP","1_8","AMP","hsa05214","Glioma","4/97","75/7925",0.0132183982903907,0.0442488724642436,0.0276488989202195,"578/805/1021/1647",4
"1_8.AMP","1_8","AMP","hsa05206","MicroRNAs in cancer","9/97","310/7925",0.0133352766330597,0.0442488724642436,0.0276488989202195,"578/596/1021/1027/8091/3162/11186/6659/3925",9
"1_8.AMP","1_8","AMP","hsa05332","Graft-versus-host disease","3/97","41/7925",0.013538804073178,0.0442537028660596,0.0276519171958075,"3107/3115/7124",3
"1_8.AMP","1_8","AMP","hsa05140","Leishmaniasis","4/97","76/7925",0.0138247345922831,0.0445237775839704,0.0278206733281238,"3115/3586/3725/7124",4
"1_8.AMP","1_8","AMP","hsa04940","Type I diabetes mellitus","3/97","43/7925",0.015401637547958,0.0488834583043884,0.0305448189356909,"3107/3115/7124",3
"1_8.DEL","1_8","DEL","hsa05166","Human T-cell leukemia virus 1 infection","6/30","219/7925",0.000141621599622375,0.0172778351539298,0.0128204816500256,"1030/8061/9232/291/7043/7416",6
"1_8.DEL","1_8","DEL","hsa04218","Cellular senescence","5/30","160/7925",0.000298450526098143,0.0182054820919868,0.0135088132865475,"801/1030/291/7043/7416",5
"1_8.DEL","1_8","DEL","hsa04330","Notch signaling pathway","3/30","53/7925",0.00100940001112022,0.0348314792248197,0.0258456187518075,"1487/3065/3280",3
"1_8.DEL","1_8","DEL","hsa04110","Cell cycle","4/30","124/7925",0.00114201571228917,0.0348314792248197,0.0258456187518075,"1030/3065/9232/7043",4
"1_8.DEL","1_8","DEL","hsa04932","Non-alcoholic fatty liver disease (NAFLD)","4/30","149/7925",0.00224808541392857,0.0497890203504905,0.03694439818932,"637/836/2931/7494",4
"1_8.DEL","1_8","DEL","hsa01524","Platinum drug resistance","3/30","73/7925",0.00254680462454865,0.0497890203504905,0.03694439818932,"637/836/7507",3
"1_8.DEL","1_8","DEL","hsa05220","Chronic myeloid leukemia","3/30","76/7925",0.00285674706929044,0.0497890203504905,0.03694439818932,"1487/3065/7043",3
"16_28.AMP","16_28","AMP","hsa05169","Epstein-Barr virus infection","16/124","201/7925",7.88227281827092e-08,1.44552590655761e-05,8.8529816286782e-06,"10000/960/1019/1869/3105/10379/6885/1432/57506/4609/6502/6773/6774/6890/29110/7186",16
"16_28.AMP","16_28","AMP","hsa04668","TNF signaling pathway","12/124","112/7925",1.48271780138415e-07,1.44552590655761e-05,8.8529816286782e-06,"10000/468/9530/602/330/10059/6885/1432/4323/11035/7133/7186",12
"16_28.AMP","16_28","AMP","hsa05161","Hepatitis B","14/124","162/7925",1.97117169076038e-07,1.44552590655761e-05,8.8529816286782e-06,"10000/468/1869/5605/6885/1432/57506/4609/4088/6773/6774/6776/6778/29110",14
"16_28.AMP","16_28","AMP","hsa05205","Proteoglycans in cancer","15/124","204/7925",5.81381325867933e-07,3.19759729227363e-05,1.95833709766041e-05,"60/10000/960/2017/2099/2549/5605/1432/4478/4609/5781/6093/4087/6774/7448",15
"16_28.AMP","16_28","AMP","hsa04550","Signaling pathways regulating pluripotency of stem cells","12/124","140/7925",1.69084596612312e-06,7.39433149888204e-05,4.52858579835838e-05,"90/91/10000/3572/5605/1432/4609/6498/4087/4088/6774/6926",12
"16_28.AMP","16_28","AMP","hsa05163","Human cytomegalovirus infection","15/124","225/7925",2.01663586333147e-06,7.39433149888204e-05,4.52858579835838e-05,"10000/468/9564/1019/1869/3105/3570/5605/1432/4609/6093/6774/6890/29110/7186",15
"16_28.AMP","16_28","AMP","hsa05220","Chronic myeloid leukemia","9/124","76/7925",2.47628135390318e-06,7.78259854083855e-05,4.76637613984371e-05,"10000/1019/1869/5605/4609/5781/6464/4088/6776",9
"16_28.AMP","16_28","AMP","hsa05167","Kaposi sarcoma-associated herpesvirus infection","13/124","186/7925",6.06923035005113e-06,0.000166903834626406,0.000102218616421914,"10000/1019/1869/3105/3572/10379/5605/1432/4609/6773/6774/29110/7186",13
"16_28.AMP","16_28","AMP","hsa05160","Hepatitis C","11/124","155/7925",2.84043715644624e-05,0.000672306853448834,0.000411747737997372,"10000/1019/1869/10379/5605/57506/4609/6773/6774/29110/7186",11
"16_28.AMP","16_28","AMP","hsa04068","FoxO signaling pathway","10/124","131/7925",3.5689727365034e-05,0.000672306853448834,0.000411747737997372,"10000/847/3667/5605/1432/23678/6502/4088/6774/6789",10
"16_28.AMP","16_28","AMP","hsa04218","Cellular senescence","11/124","160/7925",3.81466349245658e-05,0.000672306853448834,0.000411747737997372,"10000/823/1019/1869/2305/3105/5605/1432/4609/4087/4088",11
"16_28.AMP","16_28","AMP","hsa04659","Th17 cell differentiation","9/124","107/7925",4.14887255385011e-05,0.000672306853448834,0.000411747737997372,"3570/3572/1432/5914/4087/4088/6774/6776/6778",9
"16_28.AMP","16_28","AMP","hsa04217","Necroptosis","11/124","162/7925",4.27831634012894e-05,0.000672306853448834,0.000411747737997372,"330/823/10059/10379/11035/9825/6773/6774/6776/6778/7186",11
"16_28.AMP","16_28","AMP","hsa04630","JAK-STAT signaling pathway","11/124","162/7925",4.27831634012894e-05,0.000672306853448834,0.000411747737997372,"10000/3570/3572/10379/4170/4609/5781/6773/6774/6776/6778",11
"16_28.AMP","16_28","AMP","hsa05162","Measles","10/124","138/7925",5.57900861741718e-05,0.000818254597221186,0.000501132002125894,"10000/1019/10379/6885/57506/4478/6773/6774/6776/29110",10
"16_28.AMP","16_28","AMP","hsa05223","Non-small cell lung cancer","7/124","66/7925",7.01852049487386e-05,0.000965046568045156,0.000591033304831483,"10000/1019/1869/5605/6774/6776/6789",7
"16_28.AMP","16_28","AMP","hsa05221","Acute myeloid leukemia","7/124","67/7925",7.7366928272376e-05,0.00100121907176016,0.000613186799929667,"10000/5605/4609/5467/5914/6774/6776",7
"16_28.AMP","16_28","AMP","hsa04722","Neurotrophin signaling pathway","9/124","119/7925",9.56305684178196e-05,0.00107477097643451,0.000658232942505343,"10000/468/2549/3667/5605/1432/4804/5781/6464",9
"16_28.AMP","16_28","AMP","hsa04935","Growth hormone synthesis, secretion and action","9/124","119/7925",9.56305684178196e-05,0.00107477097643451,0.000658232942505343,"10000/468/9564/3667/5605/1432/6464/6774/6776",9
"16_28.AMP","16_28","AMP","hsa05135","Yersinia infection","9/124","120/7925",0.000102038412323218,0.00107477097643451,0.000658232942505343,"60/10000/9564/5605/6885/1432/6093/29110/7186",9
"16_28.AMP","16_28","AMP","hsa04917","Prolactin signaling pathway","7/124","70/7925",0.000102591775023294,0.00107477097643451,0.000658232942505343,"10000/2099/5605/1432/6464/6774/6776",7
"16_28.AMP","16_28","AMP","hsa04110","Cell cycle","9/124","124/7925",0.000131393778636639,0.00131393778636639,0.000804708309353576,"8317/1019/10926/1869/4172/4609/6502/4087/4088",9
"16_28.AMP","16_28","AMP","hsa01522","Endocrine resistance","8/124","98/7925",0.000138930709280604,0.00132890243659708,0.000813873262604913,"10000/1019/1869/2099/5605/1432/5469/6464",8
"16_28.AMP","16_28","AMP","hsa05212","Pancreatic cancer","7/124","75/7925",0.000159240043631616,0.00145970039995648,0.000893979192317844,"10000/1019/1869/10928/4087/4088/6774",7
"16_28.AMP","16_28","AMP","hsa04010","MAPK signaling pathway","14/124","295/7925",0.000195849851920304,0.00172347869689867,0.001055527622981,"10000/408/468/2005/4254/5605/6885/1432/4609/4804/3164/5062/6789/7186",14
"16_28.AMP","16_28","AMP","hsa04014","Ras signaling pathway","12/124","232/7925",0.000261730394981982,0.00221464180369369,0.00135633565010906,"10000/2549/4254/5605/4804/5062/5781/10928/6464/8036/6789/29110",12
"16_28.AMP","16_28","AMP","hsa05225","Hepatocellular carcinoma","10/124","168/7925",0.000285698624862448,0.00232791472110142,0.00142570853732527,"60/10000/1019/1869/2549/5605/4609/6464/4087/4088",10
"16_28.AMP","16_28","AMP","hsa04012","ErbB signaling pathway","7/124","85/7925",0.000348063164785255,0.002734782009027,0.00167489041701175,"10000/2549/5605/4609/5062/6464/6776",7
"16_28.AMP","16_28","AMP","hsa05219","Bladder cancer","5/124","41/7925",0.000412901565844924,0.00313235670640977,0.00191838114076771,"999/1019/1869/5605/4609",5
"16_28.AMP","16_28","AMP","hsa04015","Rap1 signaling pathway","11/124","210/7925",0.00042780286044756,0.00313722097661544,0.00192136021534343,"60/10000/9564/999/2149/4254/889/5605/1432/4804/6494",11
"16_28.AMP","16_28","AMP","hsa04621","NOD-like receptor signaling pathway","10/124","181/7925",0.000517712836311384,0.00357840678979081,0.00219156013920202,"330/10059/10379/6885/1432/57506/11035/6773/29110/7186",10
"16_28.AMP","16_28","AMP","hsa05226","Gastric cancer","9/124","149/7925",0.000520495533060481,0.00357840678979081,0.00219156013920202,"10000/999/1869/2549/5605/4609/6464/4087/4088",9
"16_28.AMP","16_28","AMP","hsa05222","Small cell lung cancer","7/124","92/7925",0.000564486829131894,0.00376324552754596,0.00230476281112863,"10000/330/1019/1869/4609/6502/7186",7
"16_28.AMP","16_28","AMP","hsa05166","Human T-cell leukemia virus 1 infection","11/124","219/7925",0.000609612839777375,0.00394455366914772,0.00241580320407133,"10000/468/1019/1869/2005/3105/5605/4609/4087/4088/6776",11
"16_28.AMP","16_28","AMP","hsa04920","Adipocytokine signaling pathway","6/124","69/7925",0.000696608595082613,0.00425705252550485,0.00260719006346709,"10000/3667/5781/6774/7133/7186",6
"16_28.AMP","16_28","AMP","hsa05211","Renal cell carcinoma","6/124","69/7925",0.000696608595082613,0.00425705252550485,0.00260719006346709,"10000/2034/2549/5605/5062/5781",6
"16_28.AMP","16_28","AMP","hsa04380","Osteoclast differentiation","8/124","128/7925",0.000854462221968764,0.00504505399579215,0.00308979383474351,"10000/2355/10379/6885/1432/4286/6773/7186",8
"16_28.AMP","16_28","AMP","hsa05218","Melanoma","6/124","72/7925",0.000873961920566356,0.00504505399579215,0.00308979383474351,"10000/999/1019/1869/5605/4286",6
"16_28.AMP","16_28","AMP","hsa04926","Relaxin signaling pathway","8/124","129/7925",0.0008992048509554,0.00504505399579215,0.00308979383474351,"10000/408/468/1910/5605/1432/6464/4087",8
"16_28.AMP","16_28","AMP","hsa04933","AGE-RAGE signaling pathway in diabetic complications","7/124","100/7925",0.000930525273046273,0.00504505399579215,0.00308979383474351,"10000/1019/1432/4087/4088/6774/6776",7
"16_28.AMP","16_28","AMP","hsa05100","Bacterial invasion of epithelial cells","6/124","73/7925",0.000940214608306718,0.00504505399579215,0.00308979383474351,"60/9564/999/2017/2549/6464",6
"16_28.AMP","16_28","AMP","hsa04916","Melanogenesis","7/124","101/7925",0.000987042216242169,0.00517022113269707,0.003166451220025,"1638/1910/4254/5605/4286/7299/7306",7
"16_28.AMP","16_28","AMP","hsa04151","PI3K-Akt signaling pathway","14/124","354/7925",0.00121512069979405,0.00621689660359746,0.0038074773457439,"10000/468/1019/2149/3570/3667/4254/5605/4170/4609/4804/3164/23678/7448",14
"16_28.AMP","16_28","AMP","hsa04210","Apoptosis","8/124","136/7925",0.00126777935855199,0.00633889679275994,0.00388219516494389,"60/10000/468/330/823/5605/4170/7186",8
"16_28.AMP","16_28","AMP","hsa01521","EGFR tyrosine kinase inhibitor resistance","6/124","79/7925",0.00142272325641523,0.00695553592025222,0.00425984975020231,"10000/2549/3570/5605/6464/6774",6
"16_28.AMP","16_28","AMP","hsa05170","Human immunodeficiency virus 1 infection","10/124","212/7925",0.00173894005275684,0.00831666981753272,0.00509346285475688,"10000/3105/5605/6885/1432/5062/6890/29110/7133/7186",10
"16_28.AMP","16_28","AMP","hsa04670","Leukocyte transendothelial migration","7/124","112/7925",0.00180498700961244,0.00844887536414335,0.00517443084502559,"60/9564/1432/4478/5781/6093/6494",7
"16_28.AMP","16_28","AMP","hsa05210","Colorectal cancer","6/124","86/7925",0.00220224994341504,0.0100936455739856,0.00618175422712993,"10000/5605/4436/4609/4087/4088",6
"16_28.AMP","16_28","AMP","hsa04390","Hippo signaling pathway","8/124","154/7925",0.00278247265810004,0.0124927343833063,0.00765105263666606,"60/999/4609/4771/4087/4088/7004/10413",8
"16_28.AMP","16_28","AMP","hsa04350","TGF-beta signaling pathway","6/124","94/7925",0.00344693286655158,0.0151665046128269,0.00928857698776004,"90/91/4609/6093/4087/4088",6
"16_28.AMP","16_28","AMP","hsa05131","Shigellosis","5/124","67/7925",0.00385202486188186,0.0166165778355688,0.010176660109822,"60/960/2017/1432/6093",5
"16_28.AMP","16_28","AMP","hsa05130","Pathogenic Escherichia coli infection","9/124","201/7925",0.00416746631967092,0.017298916798634,0.0105945519149529,"60/2017/2149/6885/1432/5062/5781/6093/7186",9
"16_28.AMP","16_28","AMP","hsa05203","Viral carcinogenesis","9/124","201/7925",0.00416746631967092,0.017298916798634,0.0105945519149529,"468/1019/3105/3572/10379/6502/6774/6776/7186",9
"16_28.AMP","16_28","AMP","hsa04622","RIG-I-like receptor signaling pathway","5/124","70/7925",0.00465154100069531,0.0189507225954253,0.0116061841732748,"6885/1432/57506/29110/7186",5
"16_28.AMP","16_28","AMP","hsa04520","Adherens junction","5/124","71/7925",0.00494246307687795,0.0197698523075118,0.0121078521309163,"60/999/6885/4088/7525",5
"16_28.AMP","16_28","AMP","hsa05164","Influenza A","8/124","170/7925",0.00507790878945117,0.0199489273871296,0.0122175249069502,"60/10000/1019/10379/5605/57506/6773/29110",8
"16_28.AMP","16_28","AMP","hsa04625","C-type lectin receptor signaling pathway","6/124","104/7925",0.00566227932964016,0.0214776112503592,0.0131537523447176,"10000/602/10379/1432/5781/6773",6
"16_28.AMP","16_28","AMP","hsa04660","T cell receptor signaling pathway","6/124","104/7925",0.00566227932964016,0.0214776112503592,0.0131537523447176,"10000/1019/5605/6885/1432/5062",6
"16_28.AMP","16_28","AMP","hsa05214","Glioma","5/124","75/7925",0.00623602629996479,0.0232529794235975,0.0142410591685191,"10000/1019/1869/5605/6464",5
"16_28.AMP","16_28","AMP","hsa05224","Breast cancer","7/124","147/7925",0.00810414955113832,0.0297152150208405,0.018198791974486,"10000/1019/1869/2099/5605/4609/6464",7
"16_28.AMP","16_28","AMP","hsa04072","Phospholipase D signaling pathway","7/124","148/7925",0.00839867146967392,0.030290290546365,0.0185509913394005,"10000/2149/2549/4254/5605/5781/6464",7
"16_28.AMP","16_28","AMP","hsa05202","Transcriptional misregulation in cancer","8/124","186/7925",0.00860775310793378,0.0305436400604102,0.0187061527642704,"330/2005/4221/4286/4609/4804/5327/5914",8
"16_28.AMP","16_28","AMP","hsa04392","Hippo signaling pathway - multiple species","3/124","29/7925",0.01015439614195,0.035459796051254,0.0217170042801939,"4771/7004/10413",3
"16_28.AMP","16_28","AMP","hsa04071","Sphingolipid signaling pathway","6/124","119/7925",0.0107227388058256,0.0362923467274097,0.0222268917756385,"10000/5605/1432/8439/6093/7186",6
"16_28.AMP","16_28","AMP","hsa04919","Thyroid hormone signaling pathway","6/124","119/7925",0.0107227388058256,0.0362923467274097,0.0222268917756385,"60/10000/2099/5605/5469/4609",6
"16_28.AMP","16_28","AMP","hsa04211","Longevity regulating pathway","5/124","89/7925",0.012622981130436,0.0403057775628031,0.0246848781245876,"10000/468/847/3667/83667",5
"16_28.AMP","16_28","AMP","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","5/124","89/7925",0.012622981130436,0.0403057775628031,0.0246848781245876,"10000/5605/1432/5781/6774",5
"16_28.AMP","16_28","AMP","hsa04510","Focal adhesion","8/124","199/7925",0.0126276964947743,0.0403057775628031,0.0246848781245876,"60/10000/9564/330/5062/6093/6464/7448",8
"16_28.AMP","16_28","AMP","hsa05213","Endometrial cancer","4/124","58/7925",0.0126413575083337,0.0403057775628031,0.0246848781245876,"10000/999/5605/4609",4
