"Cluster","Mutation_Level","Copy_Number_Alteration","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1_8.AMP","1_8","AMP","BP","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","10/146","92/17913",3.86680238807962e-09,1.07961205517506e-06,7.03194964635823e-07,"BAD/BCL2/BCL2L1/HMOX1/HTRA2/ING2/PYCARD/RPS3/SNAI2/TNF",10
"1_8.AMP","1_8","AMP","BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway","12/146","151/17913",3.87131774858857e-09,1.07961205517506e-06,7.03194964635823e-07,"ATF3/BCL2/BCL2L1/CAV1/FADD/HMOX1/HSPA1A/HTRA2/PARK7/PYCARD/SNAI2/TNF",12
"1_8.AMP","1_8","AMP","BP","GO:2001233","regulation of apoptotic signaling pathway","18/146","397/17913",4.04116231421704e-09,1.07961205517506e-06,7.03194964635823e-07,"ATF3/BAD/BAK1/BCL2/BCL2L1/CAV1/FADD/HMOX1/HSPA1A/HSPB1/HTRA2/ING2/PARK7/PYCARD/RPS3/SNAI2/SOD2/TNF",18
"1_8.AMP","1_8","AMP","BP","GO:0032069","regulation of nuclease activity","6/146","19/17913",6.57388154115739e-09,1.54821124819311e-06,1.00841255773622e-06,"HMGB1/HSPA1A/PCNA/RPS3/TERF1/TERF2",6
"1_8.AMP","1_8","AMP","BP","GO:0035690","cellular response to drug","17/146","362/17913",6.6867747546492e-09,1.54821124819311e-06,1.00841255773622e-06,"BAD/CDK2/EIF4E/EIF4EBP1/GSTM2/HMGA2/HMOX1/HNRNPD/ID1/IL10/NQO1/PARK7/PCNA/RAP1B/RHOB/RPS3/TNF",17
"1_8.AMP","1_8","AMP","BP","GO:0045667","regulation of osteoblast differentiation","11/146","128/17913",7.7701261993678e-09,1.68660301815027e-06,1.09855271068693e-06,"CDK6/CEBPB/CTHRC1/CTNNBIP1/ID1/JUND/SKI/SNAI2/TNF/TWIST1/TWSG1",11
"1_8.AMP","1_8","AMP","BP","GO:0051098","regulation of binding","17/146","368/17913",8.53784977634025e-09,1.74423248666057e-06,1.13608911265357e-06,"ARF6/BAK1/BCL2/CALM2/CAV1/CTHRC1/CTNNBIP1/HMGA2/HMGB1/HMOX1/ID1/IL10/JUN/PARK7/SKI/STMN1/TWIST1",17
"1_8.AMP","1_8","AMP","BP","GO:0030278","regulation of ossification","13/146","199/17913",9.2310629233887e-09,1.78108230738494e-06,1.16009089019663e-06,"BCL2/CDK6/CEBPB/CTHRC1/CTNNBIP1/ID1/ISG15/JUND/SKI/SNAI2/TNF/TWIST1/TWSG1",13
"1_8.AMP","1_8","AMP","BP","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","9/146","83/17913",2.43883508564172e-08,4.45793381707037e-06,2.90363246484435e-06,"ATF3/BAD/BCL2/BCL2L1/DIABLO/FADD/HMOX1/PARK7/TNF",9
"1_8.AMP","1_8","AMP","BP","GO:0042542","response to hydrogen peroxide","11/146","144/17913",2.67165565022916e-08,4.63933003662293e-06,3.02178315386445e-06,"BAD/BAK1/BCL2/HMOX1/IL10/JUN/NQO1/PARK7/PCNA/RHOB/RPS3",11
"1_8.AMP","1_8","AMP","BP","GO:0019882","antigen processing and presentation","13/146","220/17913",3.05690205165819e-08,5.05553372638519e-06,3.29287343810198e-06,"ATG5/DCTN6/DYNLL2/HLA-C/HLA-DPB1/IFI30/PSMB9/PSMD9/PYCARD/RAB4A/RAB5B/RAB7A/TAPBP",13
"1_8.AMP","1_8","AMP","BP","GO:0006413","translational initiation","12/146","183/17913",3.37208998592964e-08,5.10822298670389e-06,3.32719208281227e-06,"CDC123/DENR/EIF4E/EIF4EBP1/HSPB1/RPL23A/RPL8/RPS27/RPS3/RPS6/RPSA/TNF",12
"1_8.AMP","1_8","AMP","BP","GO:0045930","negative regulation of mitotic cell cycle","15/146","308/17913",3.38292913026748e-08,5.10822298670389e-06,3.32719208281227e-06,"BCL2/BCL2L1/CDK2/CDK6/CDKN1B/CDKN2C/GADD45A/HMGA2/IL10/PCNA/PSMB9/PSMD9/RPS6/SOX4/TNF",15
"1_8.AMP","1_8","AMP","BP","GO:0038034","signal transduction in absence of ligand","8/146","62/17913",3.74456637159418e-08,5.20195160341863e-06,3.3882413189709e-06,"BAD/BCL2/BCL2L1/FADD/HSPA1A/HTRA2/SNAI2/TNF",8
"1_8.AMP","1_8","AMP","BP","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","8/146","62/17913",3.74456637159418e-08,5.20195160341863e-06,3.3882413189709e-06,"BAD/BCL2/BCL2L1/FADD/HSPA1A/HTRA2/SNAI2/TNF",8
"1_8.AMP","1_8","AMP","BP","GO:1901214","regulation of neuron death","15/146","313/17913",4.18399133845085e-08,5.58884689170761e-06,3.64024185681412e-06,"BAD/BCL2/BCL2L1/CEBPB/EGLN1/HMOX1/HTRA2/IL10/JUN/NQO1/NQO2/PARK7/SET/SOD2/TNF",15
"1_8.AMP","1_8","AMP","BP","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","10/146","118/17913",4.36521822986603e-08,5.61496404160174e-06,3.65725301207879e-06,"ARL6IP5/BAD/BAK1/DIABLO/FADD/HMGB1/HTRA2/PYCARD/RPS3/TNF",10
"1_8.AMP","1_8","AMP","BP","GO:0048732","gland development","17/146","422/17913",6.33069688471891e-08,7.85232510022456e-06,5.11453669370712e-06,"ARF6/BCL2/CAV1/CDKN1B/CEBPB/FADD/FKBP4/HMOX1/HNRNPD/IL10/JUN/PCNA/POU3F2/SNAI2/TNF/TWSG1/TYMS",17
"1_8.AMP","1_8","AMP","BP","GO:0019058","viral life cycle","15/146","324/17913",6.58556092391749e-08,7.8867769271605e-06,5.13697656097956e-06,"ATG5/BCL2/BST2/CAV1/CDC42/HMGA2/HSPA1A/ISG15/LGALS1/PVR/RAB5A/RAB7A/RPSA/TNF/TRIM13",15
"1_8.AMP","1_8","AMP","BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","9/146","94/17913",7.31555801894671e-08,8.46897766660065e-06,5.5161874325321e-06,"BCL2/BCL2L1/HSPA1A/HSPB1/HTRA2/ING2/PARK7/SNAI2/SOD2",9
"1_8.AMP","1_8","AMP","BP","GO:0034614","cellular response to reactive oxygen species","11/146","165/17913",1.0863957223657e-07,1.21711365928261e-05,7.92755316592156e-06,"CDK2/HNRNPD/IL10/JUN/NQO1/PARK7/PCNA/RHOB/RPS3/SOD2/TNF",11
"1_8.AMP","1_8","AMP","BP","GO:0022407","regulation of cell-cell adhesion","16/146","389/17913",1.19570787542196e-07,1.29771670354389e-05,8.45255336934799e-06,"BAD/CAV1/CDC42/CEBPB/FADD/FLOT2/FXYD5/HLA-DPB1/HMGB1/IL10/LGALS1/PYCARD/RPS3/SNAI2/TNF/TWSG1",16
"1_8.AMP","1_8","AMP","BP","GO:0009636","response to toxic substance","18/146","499/17913",1.33047644122176e-07,1.39481611760885e-05,9.08500109640205e-06,"BAD/BAK1/BCL2/BCL2L1/EIF4EBP1/GSTM2/HMOX1/HTRA2/IL10/JUN/NQO1/PARK7/PCNA/RHOB/RPS3/SOD2/TNF/TYMS",18
"1_8.AMP","1_8","AMP","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","14/146","295/17913",1.36549807079472e-07,1.39481611760885e-05,9.08500109640205e-06,"BAD/CAV1/CDC42/CEBPB/FADD/FLOT2/HLA-DPB1/HMGB1/IL10/LGALS1/PYCARD/RPS3/TNF/TWSG1",14
"1_8.AMP","1_8","AMP","BP","GO:2001056","positive regulation of cysteine-type endopeptidase activity","10/146","135/17913",1.56816956534533e-07,1.55607225726981e-05,1.01353275065477e-05,"ARL6IP5/BAD/BAK1/DIABLO/FADD/HMGB1/HTRA2/PYCARD/RPS3/TNF",10
"1_8.AMP","1_8","AMP","BP","GO:0052547","regulation of peptidase activity","16/146","398/17913",1.63157503814299e-07,1.57401669651961e-05,1.02522068917231e-05,"ARL6IP5/BAD/BAK1/BIRC5/BST2/CAV1/DIABLO/FADD/HMGB1/HTRA2/PARK7/PEBP1/PSMB9/PYCARD/RPS3/TNF",16
"1_8.AMP","1_8","AMP","BP","GO:0031397","negative regulation of protein ubiquitination","8/146","76/17913",1.89711077704519e-07,1.78072046721025e-05,1.15985520906689e-05,"ATG5/CAMLG/CAV1/HSPA1A/ISG15/PARK7/RPS3/SOX4",8
"1_8.AMP","1_8","AMP","BP","GO:0042098","T cell proliferation","11/146","177/17913",2.21547028558456e-07,2.02482323732504e-05,1.31884920878704e-05,"CCND3/CD151/CEBPB/FADD/HLA-DPB1/HMGB1/IL10/PYCARD/RPS3/RPS6/TWSG1",11
"1_8.AMP","1_8","AMP","BP","GO:2001235","positive regulation of apoptotic signaling pathway","11/146","178/17913",2.34508098831318e-07,2.04750092763875e-05,1.33362010501937e-05,"ATF3/BAD/BAK1/BCL2/BCL2L1/CAV1/FADD/HTRA2/PARK7/PYCARD/RPS3",11
"1_8.AMP","1_8","AMP","BP","GO:0043254","regulation of protein complex assembly","16/146","409/17913",2.35819283344515e-07,2.04750092763875e-05,1.33362010501937e-05,"ARF6/CDC42/CDKN1B/CTNNBIP1/EIF4EBP1/FKBP4/HMGB1/HSPA1A/JUN/PARK7/PYCARD/RPS3/STMN1/TERF1/TNF/TWIST1",16
"1_8.AMP","1_8","AMP","BP","GO:2001021","negative regulation of response to DNA damage stimulus","8/146","79/17913",2.5713884611183e-07,2.1702997607478e-05,1.41360394800401e-05,"BCL2/BCL2L1/HMGA2/ING2/RPS3/SNAI2/TERF2/TWIST1",8
"1_8.AMP","1_8","AMP","BP","GO:0010952","positive regulation of peptidase activity","11/146","180/17913",2.62460667870451e-07,2.1702997607478e-05,1.41360394800401e-05,"ARL6IP5/BAD/BAK1/CAV1/DIABLO/FADD/HMGB1/HTRA2/PYCARD/RPS3/TNF",11
"1_8.AMP","1_8","AMP","BP","GO:2000116","regulation of cysteine-type endopeptidase activity","12/146","222/17913",2.79100131586333e-07,2.25422036511473e-05,1.46826482932443e-05,"ARL6IP5/BAD/BAK1/DIABLO/FADD/HMGB1/HTRA2/PARK7/PSMB9/PYCARD/RPS3/TNF",12
"1_8.AMP","1_8","AMP","BP","GO:2001234","negative regulation of apoptotic signaling pathway","12/146","223/17913",2.9293252727914e-07,2.28629808599414e-05,1.48915834537148e-05,"BCL2/BCL2L1/FADD/HMOX1/HSPA1A/HSPB1/HTRA2/ING2/PARK7/SNAI2/SOD2/TNF",12
"1_8.AMP","1_8","AMP","BP","GO:0001933","negative regulation of protein phosphorylation","16/146","416/17913",2.96237874660916e-07,2.28629808599414e-05,1.48915834537148e-05,"ATF3/BAK1/CALM2/CAV1/CDKN1B/CDKN2C/DUSP14/GADD45A/HEXIM1/HSPB1/JUN/PARK7/PBK/PYCARD/SPRY4/TWIST1",16
"1_8.AMP","1_8","AMP","BP","GO:0070661","leukocyte proliferation","13/146","270/17913",3.31349757825419e-07,2.50169067158192e-05,1.62945224157168e-05,"BCL2/BST2/CCND3/CD151/CEBPB/FADD/HLA-DPB1/HMGB1/IL10/PYCARD/RPS3/RPS6/TWSG1",13
"1_8.AMP","1_8","AMP","BP","GO:0052548","regulation of endopeptidase activity","15/146","370/17913",3.65529233169483e-07,2.70102771659067e-05,1.75928851529948e-05,"ARL6IP5/BAD/BAK1/BIRC5/BST2/DIABLO/FADD/HMGB1/HTRA2/PARK7/PEBP1/PSMB9/PYCARD/RPS3/TNF",15
"1_8.AMP","1_8","AMP","BP","GO:0001836","release of cytochrome c from mitochondria","7/146","57/17913",3.88909733530375e-07,2.81392396781457e-05,1.83282240648416e-05,"BAD/BAK1/BCL2/BCL2L1/JUN/PYCARD/SOD2",7
"1_8.AMP","1_8","AMP","BP","GO:0043903","regulation of symbiosis, encompassing mutualism through parasitism","12/146","232/17913",4.47705499043733e-07,3.16187833767026e-05,2.05945915033367e-05,"BAD/BCL2/BST2/CAV1/HMGA2/IL10/ISG15/JUN/LGALS1/RAB7A/TNF/TRIM13",12
"1_8.AMP","1_8","AMP","BP","GO:0002521","leukocyte differentiation","17/146","485/17913",4.55208513917399e-07,3.16187833767026e-05,2.05945915033367e-05,"ATG5/BAD/BAK1/BCL2/CDC42/CDK6/CEBPB/CTNNBIP1/FADD/GLO1/HMGB1/IL10/JUN/LGALS1/RPS6/SOX4/TNF",17
"1_8.AMP","1_8","AMP","BP","GO:0007159","leukocyte cell-cell adhesion","14/146","328/17913",4.94785010022837e-07,3.3292695454499e-05,2.168487809166e-05,"BAD/CAV1/CDC42/CEBPB/FADD/FLOT2/HLA-DPB1/HMGB1/IL10/LGALS1/PYCARD/RPS3/TNF/TWSG1",14
"1_8.AMP","1_8","AMP","BP","GO:1903321","negative regulation of protein modification by small protein conjugation or removal","8/146","86/17913",4.984797476631e-07,3.3292695454499e-05,2.168487809166e-05,"ATG5/CAMLG/CAV1/HSPA1A/ISG15/PARK7/RPS3/SOX4",8
"1_8.AMP","1_8","AMP","BP","GO:0051402","neuron apoptotic process","12/146","238/17913",5.87748076338329e-07,3.85141333796796e-05,2.50858116395446e-05,"BCL2/BCL2L1/CEBPB/FADD/HMOX1/JUN/NQO1/NQO2/PARK7/SET/SOD2/TNF",12
"1_8.AMP","1_8","AMP","BP","GO:0051101","regulation of DNA binding","9/146","120/17913",6.01142107683359e-07,3.86623433330427e-05,2.51823467721548e-05,"CALM2/CTNNBIP1/HMGA2/HMGB1/HMOX1/JUN/PARK7/SKI/TWIST1",9
"1_8.AMP","1_8","AMP","BP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","11/146","196/17913",6.15114435215348e-07,3.88416806091437e-05,2.52991563880915e-05,"ARL6IP5/BAD/BAK1/DIABLO/FADD/HMGB1/HTRA2/PARK7/PYCARD/RPS3/TNF",11
"1_8.AMP","1_8","AMP","BP","GO:0009895","negative regulation of catabolic process","13/146","288/17913",6.89377602162882e-07,4.2753721648423e-05,2.78472268242111e-05,"BCL2/CAMLG/HMOX1/HNRNPD/HTRA2/IL10/NAMPT/PARK7/PBK/RYBP/SDCBP/TNF/YBX1",13
"1_8.AMP","1_8","AMP","BP","GO:0006402","mRNA catabolic process","14/146","338/17913",7.08805925475248e-07,4.31874206872901e-05,2.81297125364046e-05,"HNRNPD/HSPA1A/HSPB1/PSMB9/PSMD9/RNH1/RPL23A/RPL8/RPS27/RPS3/RPS6/RPSA/SET/YBX1",14
"1_8.AMP","1_8","AMP","BP","GO:0031330","negative regulation of cellular catabolic process","12/146","244/17913",7.65448329021492e-07,4.50250337703942e-05,2.93266242055487e-05,"BCL2/CAMLG/HMOX1/HNRNPD/HTRA2/IL10/NAMPT/PARK7/PBK/RYBP/SDCBP/YBX1",12
"1_8.AMP","1_8","AMP","BP","GO:0046651","lymphocyte proliferation","12/146","244/17913",7.65448329021492e-07,4.50250337703942e-05,2.93266242055487e-05,"BCL2/CCND3/CD151/CEBPB/FADD/HLA-DPB1/HMGB1/IL10/PYCARD/RPS3/RPS6/TWSG1",12
"1_8.AMP","1_8","AMP","BP","GO:0043496","regulation of protein homodimerization activity","5/146","22/17913",7.90822649004908e-07,4.50250337703942e-05,2.93266242055487e-05,"ARF6/BAK1/BCL2/ID1/PARK7",5
"1_8.AMP","1_8","AMP","BP","GO:2000773","negative regulation of cellular senescence","5/146","22/17913",7.90822649004908e-07,4.50250337703942e-05,2.93266242055487e-05,"CDK6/HMGA2/NAMPT/TERF2/TWIST1",5
"1_8.AMP","1_8","AMP","BP","GO:0010950","positive regulation of endopeptidase activity","10/146","161/17913",8.06545037669286e-07,4.51795309004102e-05,2.94272544304125e-05,"ARL6IP5/BAD/BAK1/DIABLO/FADD/HMGB1/HTRA2/PYCARD/RPS3/TNF",10
"1_8.AMP","1_8","AMP","BP","GO:0032943","mononuclear cell proliferation","12/146","246/17913",8.34479453112839e-07,4.60023355660459e-05,2.99631803632329e-05,"BCL2/CCND3/CD151/CEBPB/FADD/HLA-DPB1/HMGB1/IL10/PYCARD/RPS3/RPS6/TWSG1",12
"1_8.AMP","1_8","AMP","BP","GO:0010948","negative regulation of cell cycle process","14/146","344/17913",8.74003301057313e-07,4.74283353839382e-05,3.08919916771738e-05,"BCL2/CDK2/CDK6/CDKN1B/CDKN2C/GADD45A/HMGA2/PCNA/PSMB9/PSMD9/RYBP/SOX4/TERF1/TERF2",14
"1_8.AMP","1_8","AMP","BP","GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress","6/146","41/17913",9.3994800863614e-07,5.02221451383586e-05,3.27117128835476e-05,"ARL6IP5/BCL2/HSPB1/HTRA2/PARK7/SOD2",6
"1_8.AMP","1_8","AMP","BP","GO:0042326","negative regulation of phosphorylation","16/146","455/17913",9.72642481224115e-07,5.11816263225962e-05,3.33366617567882e-05,"ATF3/BAK1/CALM2/CAV1/CDKN1B/CDKN2C/DUSP14/GADD45A/HEXIM1/HSPB1/JUN/PARK7/PBK/PYCARD/SPRY4/TWIST1",16
"1_8.AMP","1_8","AMP","BP","GO:0022409","positive regulation of cell-cell adhesion","12/146","251/17913",1.03181120704087e-06,5.34847809261632e-05,3.48367994333201e-05,"BAD/CAV1/CDC42/FADD/FLOT2/HLA-DPB1/HMGB1/IL10/LGALS1/PYCARD/RPS3/TNF",12
"1_8.AMP","1_8","AMP","BP","GO:0043523","regulation of neuron apoptotic process","11/146","210/17913",1.21566423147164e-06,6.20882628808974e-05,4.04405949447765e-05,"BCL2/BCL2L1/CEBPB/HMOX1/JUN/NQO1/NQO2/PARK7/SET/SOD2/TNF",11
"1_8.AMP","1_8","AMP","BP","GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","6/146","43/17913",1.25746798500618e-06,6.3292555245311e-05,4.1224999233841e-05,"BCL2/BCL2L1/HSPA1A/HTRA2/SNAI2/TNF",6
"1_8.AMP","1_8","AMP","BP","GO:0050863","regulation of T cell activation","13/146","307/17913",1.41037794125849e-06,6.99748941427249e-05,4.55774766280376e-05,"BAD/CAV1/CDC42/CEBPB/FADD/FLOT2/HLA-DPB1/HMGB1/IL10/LGALS1/PYCARD/RPS3/TWSG1",13
"1_8.AMP","1_8","AMP","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","11/146","214/17913",1.46254356002256e-06,7.15410392106808e-05,4.65975702073902e-05,"BAD/CAV1/CDC42/FADD/FLOT2/HLA-DPB1/HMGB1/LGALS1/PYCARD/RPS3/TNF",11
"1_8.AMP","1_8","AMP","BP","GO:0006914","autophagy","16/146","471/17913",1.5272379845644e-06,7.26588701423586e-05,4.73256586709287e-05,"ATG12/ATG5/BAD/BCL2/DYNLL2/HMGB1/HMOX1/HSPB1/HTRA2/IL10/NAMPT/PARK7/PYCARD/RAB5A/RAB7A/TRIM13",16
"1_8.AMP","1_8","AMP","BP","GO:0061919","process utilizing autophagic mechanism","16/146","471/17913",1.5272379845644e-06,7.26588701423586e-05,4.73256586709287e-05,"ATG12/ATG5/BAD/BCL2/DYNLL2/HMGB1/HMOX1/HSPB1/HTRA2/IL10/NAMPT/PARK7/PYCARD/RAB5A/RAB7A/TRIM13",16
"1_8.AMP","1_8","AMP","BP","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","8/146","100/17913",1.58833627969308e-06,7.45444851266766e-05,4.8553835918356e-05,"BCL2/BCL2L1/FADD/HMOX1/HSPA1A/PARK7/SNAI2/TNF",8
"1_8.AMP","1_8","AMP","BP","GO:0072331","signal transduction by p53 class mediator","12/146","264/17913",1.75132768454611e-06,8.10981473123818e-05,5.28225009696784e-05,"BCL2/CDK2/CDKN1B/GADD45A/HEXIM1/HINT1/ING2/PCNA/PYCARD/SNAI2/SOX4/TWIST1",12
"1_8.AMP","1_8","AMP","BP","GO:0006401","RNA catabolic process","14/146","368/17913",1.93583029742975e-06,8.84623503022833e-05,5.76191040052152e-05,"HNRNPD/HSPA1A/HSPB1/PSMB9/PSMD9/RNH1/RPL23A/RPL8/RPS27/RPS3/RPS6/RPSA/SET/YBX1",14
"1_8.AMP","1_8","AMP","BP","GO:0051384","response to glucocorticoid","9/146","139/17913",2.06661563223741e-06,9.31368987911199e-05,6.06638263603791e-05,"BAD/BCL2/EIF4E/EIF4EBP1/IL10/PCNA/S100B/TNF/TYMS",9
"1_8.AMP","1_8","AMP","BP","GO:0001649","osteoblast differentiation","11/146","222/17913",2.09175874048585e-06,9.31368987911199e-05,6.06638263603791e-05,"CDK6/CEBPB/CTHRC1/CTNNBIP1/ID1/JUND/SKI/SNAI2/TNF/TWIST1/TWSG1",11
"1_8.AMP","1_8","AMP","BP","GO:0000082","G1/S transition of mitotic cell cycle","12/146","269/17913",2.12888494531124e-06,9.3590093861594e-05,6.09590106259007e-05,"BCL2/CDK2/CDK6/CDKN1B/CDKN2C/EIF4E/EIF4EBP1/GADD45A/PCNA/RPS6/SOX4/TYMS",12
"1_8.AMP","1_8","AMP","BP","GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","11/146","224/17913",2.28206560280455e-06,9.90625561220605e-05,6.45234464686402e-05,"BST2/FADD/HMOX1/HSPB1/LGALS1/MAP3K14/PYCARD/S100A4/S100B/TNF/TRIM13",11
"1_8.AMP","1_8","AMP","BP","GO:0051090","regulation of DNA-binding transcription factor activity","15/146","429/17913",2.32441946837104e-06,9.90625561220605e-05,6.45234464686402e-05,"CAV1/CTNNBIP1/EGLN1/FLOT2/HMOX1/HSPA1A/ID1/IL10/JUN/PARK7/PYCARD/RPS3/TNF/TRIM13/TWIST1",15
"1_8.AMP","1_8","AMP","BP","GO:0051099","positive regulation of binding","10/146","181/17913",2.33893740340022e-06,9.90625561220605e-05,6.45234464686402e-05,"ARF6/CALM2/CAV1/CTHRC1/HMGA2/HMGB1/PARK7/SKI/STMN1/TWIST1",10
"1_8.AMP","1_8","AMP","BP","GO:0009615","response to virus","13/146","323/17913",2.47469074519923e-06,0.000103549409133457,6.74459151735338e-05,"BAD/BCL2/BCL2L1/BST2/CDK6/FADD/HMGA2/HSPB1/ISG15/MAP3K14/PYCARD/STMN1/TNF",13
"1_8.AMP","1_8","AMP","BP","GO:0002694","regulation of leukocyte activation","16/146","492/17913",2.68278357479513e-06,0.000110920325657899,7.22468910054478e-05,"BAD/BCL2/CAV1/CDC42/CEBPB/FADD/FLOT2/HLA-DPB1/HMGB1/HMOX1/IL10/LGALS1/PYCARD/RPS3/TNF/TWSG1",16
"1_8.AMP","1_8","AMP","BP","GO:0010212","response to ionizing radiation","9/146","144/17913",2.77014558822276e-06,0.000113184889739972,7.37218931156744e-05,"BAK1/BCL2/BCL2L1/GADD45A/HMGA2/NAMPT/RHOB/SNAI2/TRIM13",9
"1_8.AMP","1_8","AMP","BP","GO:0090344","negative regulation of cell aging","5/146","28/17913",2.83740958603044e-06,0.00011458515688702,7.46339437010943e-05,"CDK6/HMGA2/NAMPT/TERF2/TWIST1",5
"1_8.AMP","1_8","AMP","BP","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","8/146","109/17913",3.04888698059442e-06,0.000121710166478212,7.92747504089221e-05,"ATF3/CEBPB/EGLN1/HMOX1/HSPA1A/JUN/PSMB9/PSMD9",8
"1_8.AMP","1_8","AMP","BP","GO:0030279","negative regulation of ossification","7/146","77/17913",3.08827724488008e-06,0.00012188166899396,7.93864569287953e-05,"BCL2/CDK6/ID1/SKI/TNF/TWIST1/TWSG1",7
"1_8.AMP","1_8","AMP","BP","GO:0048002","antigen processing and presentation of peptide antigen","10/146","188/17913",3.28818468202832e-06,0.000128313094389712,8.35755042185555e-05,"DCTN6/DYNLL2/HLA-C/HLA-DPB1/IFI30/PSMB9/PSMD9/PYCARD/RAB7A/TAPBP",10
"1_8.AMP","1_8","AMP","BP","GO:0045668","negative regulation of osteoblast differentiation","6/146","51/17913",3.52087300488061e-06,0.000134373537867586,8.75229159917689e-05,"CDK6/ID1/SKI/TNF/TWIST1/TWSG1",6
"1_8.AMP","1_8","AMP","BP","GO:2000772","regulation of cellular senescence","6/146","51/17913",3.52087300488061e-06,0.000134373537867586,8.75229159917689e-05,"CDK6/HMGA2/ING2/NAMPT/TERF2/TWIST1",6
