"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0018105","peptidyl-serine phosphorylation","81/992","231/17913",1.50940342835448e-43,7.95867262223271e-41,2.96247505411965e-41,"AKAP9/AKT1/APP/ARRB1/ATM/ATP2B4/ATR/AURKA/AURKB/AXIN1/BAG4/BAK1/BAX/BCL2/BRAF/CAB39/CAV1/CCNB1/CD44/CDK1/CDK2/CHEK2/CNKSR3/CSNK1A1/CSNK2A1/DKK1/EGFR/GSK3B/HAX1/HDAC6/HGF/HMGA2/HSP90AA1/IKBKB/IL6/ILK/LIF/MAP2K2/MAP3K10/MAP3K13/MAPK1/MAPK14/MAPK3/MAPK8/MAPK9/MARK2/MIF/MTOR/PAK1/PAK2/PAQR3/PARK7/PDK3/PIK3CA/PLK1/PRKAA1/PRKCA/PRKCD/PRKCE/PRKCI/PRKD1/PTGS2/RAF1/RICTOR/ROCK1/ROCK2/SFRP2/SMAD7/SPRY2/SRC/STK4/TAF1/TBK1/TERF2IP/TGFB1/TGFBR1/TGFBR2/TNF/TXN/VEGFA/WNK1",81
"BP","GO:0018209","peptidyl-serine modification","82/992","252/17913",2.99846525494718e-41,1.4492582065578e-38,5.39460722622515e-39,"AKAP9/AKT1/APP/ARRB1/ATM/ATP2B4/ATR/AURKA/AURKB/AXIN1/BAG4/BAK1/BAX/BCL2/BRAF/CAB39/CAV1/CCNB1/CD44/CDK1/CDK2/CHEK2/CNKSR3/CSNK1A1/CSNK2A1/DKK1/EGFR/GSK3B/HAX1/HDAC6/HGF/HMGA2/HSP90AA1/IKBKB/IL6/ILK/LIF/MAP2K2/MAP3K10/MAP3K13/MAPK1/MAPK14/MAPK3/MAPK8/MAPK9/MARK2/MIF/MTOR/PAK1/PAK2/PAQR3/PARK7/PARP1/PDK3/PIK3CA/PLK1/PRKAA1/PRKCA/PRKCD/PRKCE/PRKCI/PRKD1/PTGS2/RAF1/RICTOR/ROCK1/ROCK2/SFRP2/SMAD7/SPRY2/SRC/STK4/TAF1/TBK1/TERF2IP/TGFB1/TGFBR1/TGFBR2/TNF/TXN/VEGFA/WNK1",82
"BP","GO:0000302","response to reactive oxygen species","78/992","230/17913",9.58205046588249e-41,4.27506866939373e-38,1.59131866441498e-38,"ABL1/ADA/ADAM9/AIFM1/AKT1/APEX1/APOE/AXL/BAD/BAK1/BCL2/BECN1/BNIP3/CASP3/CAT/CDK1/CDK2/CFLAR/CRK/EEF2/EGFR/EGLN1/ETS1/EZH2/FOS/FOSL1/FOXO3/FYN/GSTP1/HDAC2/HDAC6/HGF/HMOX1/HNRNPD/HSF1/IL10/IL6/JUN/KDM6B/MAPK1/MAPK3/MAPK8/MAPK9/MDM2/MET/MIR155/MIR21/MIR34A/MIRLET7B/MMP2/MMP3/MYB/NQO1/PARK7/PAWR/PCNA/PDGFRA/PRKAA1/PRKCD/PTPRK/PXN/RELA/RHOB/RIPK3/RPS3/SDC1/SESN2/SIRT1/SOD2/SRC/STAT1/STAT6/TNF/TPM1/TRAF2/TREX1/TXN/TXNIP",78
"BP","GO:0051098","regulation of binding","98/992","368/17913",1.23148067521252e-40,5.10184851159473e-38,1.89907283072247e-38,"ABL1/ACTB/AKT1/AMFR/ANXA2/APOE/APP/ARF6/ARRB1/AURKA/AURKB/B2M/BAK1/BAX/BCL2/BCL3/CALM2/CALM3/CARM1/CAV1/CDCA5/CDK9/CRK/CSNK1A1/CTHRC1/CTNNB1/CTNNBIP1/CYLD/DAB2IP/DKK1/DTX3L/E2F1/EGF/EP300/EPB41/ERCC2/NIBAN2/FBXW7/GSK3B/HDAC2/HES1/HMGA2/HMGB1/HMOX1/HSF1/HSPA5/ID1/IGF1/IL10/IRF4/JAK2/JUN/LEF1/LIF/LRP1/MAPK3/MAPK8/MARK2/MAU2/MEN1/MET/NES/NFKBIA/NME1/NRG1/NRP1/PARK7/PARP1/PLAUR/PLK1/PLXND1/PPARA/PPARG/PRKCD/PTPRF/RARA/RB1/ROCK1/SIRT2/SKI/SMAD2/SMAD3/SMAD4/SRC/STK4/STMN1/TAF1/TCF7L2/TGFB1/TGFBR1/TIAM1/TMEM173/TMSB4X/TRAF2/TRIM28/TWIST1/TXN/VTN",98
"BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway","64/992","151/17913",1.73917026415402e-40,6.72479168806219e-38,2.50318471002097e-38,"ACVR1/AKT1/ATF3/BCL10/BCL2/BCL2L1/BID/BIRC6/BRCA1/CASP8/CAV1/CFLAR/CTTN/CYLD/DEPTOR/FADD/FAS/FASLG/FGFR1/FYN/GSTP1/HGF/HMOX1/HSPA1A/HSPA1B/HTRA2/ICAM1/IGF1/IL1A/IL1B/ITGAV/MCL1/MIR221/MIR222/NF1/NRP1/PAK2/PARK7/PDIA3/PHIP/PMAIP1/PPP2R1A/PTEN/PYCARD/RAF1/RELA/SFRP1/SFRP2/SGK3/SKIL/SNAI2/SRC/STK4/STRADB/TCF7L2/TGFBR1/THBS1/TIMP3/TNF/TNFRSF10B/TNFRSF12A/TNFSF10/TRAF2/YAP1",64
"BP","GO:0050673","epithelial cell proliferation","105/992","425/17913",2.87234133381444e-40,1.04122373350773e-37,3.87577110240356e-38,"ADAM17/AIMP1/AKT1/AKT3/APOE/ARNT/ATF2/BAD/BAX/BTRC/CAV1/CCND1/CDK6/CDKN1B/CDKN1C/CDKN2B/CEBPB/CFLAR/CTNNB1/DAB2IP/EDNRB/EGFR/EPHA2/ERBB2/ERRFI1/ESR1/FBXW7/FGF2/FGFR1/FRS2/HES1/HGF/HIF1A/HMGB1/HMOX1/HRAS/HTRA1/ID1/IGF1/IGFBP3/IGFBP4/IL10/ITGB3/JUN/KIT/KRIT1/MAP2K1/MAPK1/MED1/MEN1/MIR146A/MIR155/MIR21/MIR222/MIR29A/MIR34A/MIRLET7B/MMP14/MTOR/MYC/NF1/NGFR/NME1/NME2/NR4A1/NRAS/NRP1/PDPK1/PPARD/PPARG/PRKCA/PRKD1/PTEN/PTPRK/RB1/RICTOR/ROBO1/RREB1/RUNX3/SERPINB1/SFRP1/SFRP2/SIRT1/SMAD3/SNAI2/SOX2/SP1/SPARC/SRSF6/STAT1/STAT3/STAT5A/STAT6/STK11/TCF7L2/TGFA/TGFB1/TGFBR1/THBS1/TNF/TWIST1/VDR/VEGFA/XBP1/YAP1",105
"BP","GO:0070482","response to oxygen levels","100/992","389/17913",5.46106913217187e-40,1.86318829215276e-37,6.93538872451053e-38,"ACTN4/ADA/ADAM17/AIFM1/AKT1/APAF1/ARNT/ATF4/ATM/BAD/BCL2/BECN1/BNIP3/CASP3/CAT/CAV1/CCNB1/CDK4/CDKN1A/CDKN1B/CFLAR/CREB1/CREBBP/CCN2/DNM1L/DNMT3A/E2F1/EGLN1/EGR1/EIF4EBP1/ENO1/EP300/EPAS1/ERCC2/ETS1/FAS/FOXO3/HDAC2/HIF1A/HK2/HMOX1/HSF1/HSP90B1/ICAM1/MDM2/MDM4/MIR146A/MIR155/MIR21/MIR214/MIR34A/MMP14/MTOR/MYB/MYC/NAMPT/NDRG1/NF1/NOTCH1/PAK1/PDK1/PDK3/PLAT/PMAIP1/PPARA/PPARD/PPARG/PRKAA1/PRKCE/PSMB6/PSMB9/PSMD2/PSMD7/PSMD9/PTEN/PTGS2/RAF1/REST/RHOA/ROCK2/S100B/SFRP1/SIRT1/SIRT2/SLC2A1/SLC9A1/SMAD3/SMAD4/SRC/SRF/TGFB1/TGFB3/TGFBR2/THBS1/TP53/TSC1/TWIST1/USF1/VEGFA/XRCC1",100
"BP","GO:2001234","negative regulation of apoptotic signaling pathway","75/992","223/17913",6.4456106509581e-39,2.07691898753094e-36,7.73096341819594e-37,"ACVR1/AKT1/BAX/BCL2/BCL2L1/BID/BIRC6/BRCA1/CASP8/CD44/CDKN2D/CFLAR/CLU/CSNK2A1/CTNNB1/CTTN/DDX3X/ENO1/FADD/FAS/FASLG/FYN/GSTP1/HDAC1/HGF/HIF1A/HMOX1/HSPA1A/HSPA1B/HSPB1/HTRA2/ICAM1/IGF1/IL1A/IL1B/ING2/ITGAV/MAGEA3/MCL1/MDM2/MIF/MIR21/MIR221/MIR222/MNT/NONO/NRP1/PARK7/PHIP/PLAUR/PTGS2/RAF1/RB1/RELA/RRM2B/SFRP2/SGK3/SIRT1/SNAI1/SNAI2/SOD2/SRC/STRADB/TCF7L2/TGFBR1/THBS1/TNF/TNFRSF10B/TNFSF10/TPT1/TRAF2/VDAC2/XBP1/YAP1/YBX3",75
"BP","GO:0036293","response to decreased oxygen levels","95/992","365/17913",1.71775284488773e-38,5.07482006019424e-36,1.88901196795978e-36,"ACTN4/ADA/ADAM17/AIFM1/AKT1/APAF1/ARNT/ATF4/ATM/BAD/BCL2/BECN1/BNIP3/CASP3/CAT/CAV1/CCNB1/CDKN1B/CFLAR/CREB1/CREBBP/CCN2/DNM1L/DNMT3A/E2F1/EGLN1/EGR1/EIF4EBP1/ENO1/EP300/EPAS1/ERCC2/ETS1/FOXO3/HIF1A/HK2/HMOX1/HSF1/HSP90B1/ICAM1/MDM2/MDM4/MIR146A/MIR155/MIR21/MIR214/MIR34A/MMP14/MTOR/MYB/MYC/NAMPT/NDRG1/NF1/NOTCH1/PAK1/PDK1/PDK3/PLAT/PMAIP1/PPARA/PPARD/PRKAA1/PRKCE/PSMB6/PSMB9/PSMD2/PSMD7/PSMD9/PTEN/PTGS2/RAF1/REST/RHOA/ROCK2/S100B/SFRP1/SIRT1/SIRT2/SLC2A1/SLC9A1/SMAD3/SMAD4/SRC/SRF/TGFB1/TGFB3/TGFBR2/THBS1/TP53/TSC1/TWIST1/USF1/VEGFA/XRCC1",95
"BP","GO:0046677","response to antibiotic","90/992","328/17913",1.74993795179112e-38,5.07482006019424e-36,1.88901196795978e-36,"ABL1/ADA/ADAM9/AHR/AIFM1/APEX1/AXL/BAD/BAK1/BCL2/BCL2L1/BECN1/BNIP3/CASP3/CASP8/CASP9/CAT/CCND1/CDK1/CDKN1B/CLU/CRK/DAXX/DNMT3A/EEF2/EGR1/EIF4EBP1/ETS1/EZH2/FOSL1/FOXO3/FYN/G6PD/GSTP1/HDAC2/HDAC6/HGF/HMOX1/HNRNPD/HSF1/HSP90AA1/HSPA5/ICAM1/ID1/IL10/IL6/JAK1/JAK2/JUN/KDM6B/MDM2/MET/MGMT/MIR155/MIR21/MIR34A/MIRLET7B/MYB/NQO1/OGG1/PARK7/PAWR/PCNA/PHB/PLA2G4A/PRKAA1/PRKCD/PRKCE/PTEN/RARA/RELA/RHOA/RHOB/RIPK3/RPS3/SDC1/SDF4/SETDB1/SIRT1/SLC9A1/SPARC/SRC/STAT1/STAT3/STAT6/TNC/TP53/TXN/TXNIP/TYMS",90
"BP","GO:0071214","cellular response to abiotic stimulus","86/992","310/17913",3.38628481143796e-37,8.92747813924552e-35,3.32309576471734e-35,"AKT1/AKT2/ATF4/ATM/ATR/AURKB/BAD/BAK1/BAX/BCL10/BCL2L1/BLM/BNIP3/CAB39/CALM1/CASP2/CASP3/CASP8/CASP9/CDKN1A/CHEK1/CHEK2/CLOCK/CREBBP/DDB2/DDX3X/EGFR/EGR1/ENG/EP300/ERRFI1/FADD/FAS/GADD45A/HMGA2/HRAS/HSF1/HSPA5/IL1B/MAP2K4/MAP3K1/MAP3K14/MAPK14/MAPK3/MAPK8/MC1R/MDM2/METAP2/MGMT/MYC/MYD88/NAMPT/NFKB1/OXSR1/PARP1/PBK/PCNA/PTEN/PTGS2/PTPN11/PTPRK/RAC1/RAD51/REST/RHOB/SFRP1/SFRP2/SIPA1/SIRT1/SLC2A1/SLC38A2/SLC9A1/SNAI2/STK11/TAF1/TGFB1/TNFRSF10B/TNFRSF1A/TP53/TREX1/XPC/XRCC5/XRCC6/YAP1/YBX3/YY1",86
"BP","GO:0104004","cellular response to environmental stimulus","86/992","310/17913",3.38628481143796e-37,8.92747813924552e-35,3.32309576471734e-35,"AKT1/AKT2/ATF4/ATM/ATR/AURKB/BAD/BAK1/BAX/BCL10/BCL2L1/BLM/BNIP3/CAB39/CALM1/CASP2/CASP3/CASP8/CASP9/CDKN1A/CHEK1/CHEK2/CLOCK/CREBBP/DDB2/DDX3X/EGFR/EGR1/ENG/EP300/ERRFI1/FADD/FAS/GADD45A/HMGA2/HRAS/HSF1/HSPA5/IL1B/MAP2K4/MAP3K1/MAP3K14/MAPK14/MAPK3/MAPK8/MC1R/MDM2/METAP2/MGMT/MYC/MYD88/NAMPT/NFKB1/OXSR1/PARP1/PBK/PCNA/PTEN/PTGS2/PTPN11/PTPRK/RAC1/RAD51/REST/RHOB/SFRP1/SFRP2/SIPA1/SIRT1/SLC2A1/SLC38A2/SLC9A1/SNAI2/STK11/TAF1/TGFB1/TNFRSF10B/TNFRSF1A/TP53/TREX1/XPC/XRCC5/XRCC6/YAP1/YBX3/YY1",86
"BP","GO:1901214","regulation of neuron death","86/992","313/17913",7.62026784435921e-37,1.92163276075145e-34,7.15293791706212e-35,"ABL1/AIFM1/AIMP2/AKT1/AKT1S1/APOE/ARRB1/ATF2/ATF4/ATM/AXL/BAD/BAX/BCL2/BCL2L1/BCL2L11/CASP2/CASP3/CASP8/CASP9/CD200/CEBPB/CHL1/CLU/CREB1/CTNNB1/DAXX/DHCR24/DKK1/EGLN1/EGR1/ERBB3/F2R/FASLG/FBXW7/FOS/FOXO3/FYN/G6PD/GSK3B/HIF1A/HMOX1/HRAS/HSF1/HTRA2/IL10/ILK/JAK2/JUN/KRAS/LRP1/MAP2K4/MCL1/MSH2/MTOR/MYB/NES/NF1/NONO/NQO1/NQO2/NRP1/PARK7/PARP1/PDPK1/PIK3CA/PPARA/PRKCI/PRNP/RASA1/REST/RHOA/ROCK1/SET/SIRT1/SOD2/STAT3/TBK1/TFAP2A/TGFB3/TNF/TNFRSF1B/TP53/TRAF2/TSC1/TYRO3",86
"BP","GO:0050678","regulation of epithelial cell proliferation","92/992","369/17913",1.16819504533798e-35,2.82313802623346e-33,1.05086317455623e-33,"ADAM17/AIMP1/AKT1/AKT3/APOE/ARNT/ATF2/BAD/BAX/CAV1/CCND1/CDK6/CDKN1B/CDKN1C/CDKN2B/CFLAR/CTNNB1/DAB2IP/EDNRB/EGFR/ERBB2/ERRFI1/FBXW7/FGF2/FGFR1/FRS2/HES1/HIF1A/HMGB1/HMOX1/HRAS/HTRA1/ID1/IGF1/IL10/ITGB3/JUN/KRIT1/MED1/MEN1/MIR146A/MIR155/MIR21/MIR222/MIR29A/MIR34A/MIRLET7B/MTOR/MYC/NF1/NGFR/NME1/NME2/NR4A1/NRAS/NRP1/PDPK1/PPARD/PPARG/PRKCA/PRKD1/PTEN/PTPRK/RB1/RICTOR/ROBO1/RREB1/RUNX3/SFRP1/SFRP2/SIRT1/SMAD3/SNAI2/SOX2/SP1/SPARC/SRSF6/STAT1/STAT3/STAT5A/STK11/TCF7L2/TGFA/TGFB1/TGFBR1/THBS1/TNF/TWIST1/VDR/VEGFA/XBP1/YAP1",92
